	ratio	nifH type	env type	Organism
SRR4022018	77.6595744680851	PB	soil	soil metagenome
SRR4022019	12.754158964879853	PB	soil	soil metagenome
SRR4022020	52.746212121212125	PB	soil	soil metagenome
SRR4022021	29.22077922077922	PB	soil	soil metagenome
SRR4022022	72.9381443298969	PB	soil	soil metagenome
SRR8208871	0.0	PB	soil	soil metagenome
SRR8208873	0.0	PB	soil	soil metagenome
SRR8208874	0.0	PB	soil	soil metagenome
SRR8208876	0.0	PB	soil	soil metagenome
SRR6913402	11.633109619686799	PB	soil	soil metagenome
SRR6913403	5.440900562851783	PB	soil	soil metagenome
SRR6913404	23.644578313253003	PB	soil	soil metagenome
SRR6913405	2.4756852343059244	PB	soil	soil metagenome
SRR6913406	0.0	PB	soil	soil metagenome
SRR6913407	0.0	PB	soil	soil metagenome
SRR6913408	11.350574712643677	PB	soil	soil metagenome
SRR6913409	0.0	PB	soil	soil metagenome
SRR6913410	12.395543175487465	PB	soil	soil metagenome
SRR6913411	1.0130246020260494	PB	soil	soil metagenome
SRR6913412	0.0	PB	soil	soil metagenome
SRR6913413	6.945765937202664	PB	soil	soil metagenome
SRR6913414	0.0	PB	soil	soil metagenome
SRR6913415	0.0	PB	soil	soil metagenome
SRR6913416	3.3613445378151243	PB	soil	soil metagenome
SRR6913417	4.382183908045978	PB	soil	soil metagenome
SRR6913418	0.0	PB	soil	soil metagenome
SRR6913419	8.547008547008549	PB	soil	soil metagenome
SRR6913420	0.0	PB	soil	soil metagenome
SRR6913421	9.688581314878892	PB	soil	soil metagenome
SRR6913422	0.0	PB	soil	soil metagenome
SRR6913423	0.6872852233676976	PB	soil	soil metagenome
SRR6913424	3.5999999999999996	PB	soil	soil metagenome
SRR6913425	16.614420062695924	PB	soil	soil metagenome
SRR6913426	0.0	PB	soil	soil metagenome
SRR6913427	8.235294117647058	PB	soil	soil metagenome
SRR6913428	2.806677957899832	PB	soil	soil metagenome
SRR6913429	2.1024967148488827	PB	soil	soil metagenome
SRR6913430	0.0	PB	soil	soil metagenome
SRR6913431	0.3712871287128711	PB	soil	soil metagenome
SRR6913432	2.2556390977443606	PB	soil	soil metagenome
SRR6913433	0.0	PB	soil	soil metagenome
SRR6913434	0.0	PB	soil	soil metagenome
SRR6913435	1.6563146997929612	PB	soil	soil metagenome
SRR6913436	1.5981735159817354	PB	soil	soil metagenome
SRR6913437	0.0	PB	soil	soil metagenome
SRR6913438	0.0	PB	soil	soil metagenome
SRR6913439	0.0	PB	soil	soil metagenome
SRR6913440	3.9877300613496947	PB	soil	soil metagenome
SRR6913441	22.558922558922553	PB	soil	soil metagenome
SRR6913442	0.0	PB	soil	soil metagenome
SRR6913443	36.12684031710079	PB	soil	soil metagenome
SRR6913444	0.7343941248470012	PB	soil	soil metagenome
SRR6913445	3.9215686274509816	PB	soil	soil metagenome
SRR6913446	5.188679245283018	PB	soil	soil metagenome
SRR6913447	6.75	PB	soil	soil metagenome
SRR6913448	1.6528925619834711	PB	soil	soil metagenome
SRR6913449	2.9850746268656723	PB	soil	soil metagenome
SRR12720099	0.0	PB	soil	soil metagenome
SRR12720107	0.0	PB	soil	soil metagenome
SRR12720108	0.0	PB	soil	soil metagenome
SRR12720110	0.0	PB	soil	soil metagenome
SRR12720111	0.0	PB	soil	soil metagenome
SRR10759550	0.0	PB	marine	marine metagenome
SRR10759555	0.0	PB	marine	marine metagenome
SRR10759570	0.0	PB	marine	marine metagenome
SRR10759573	100.0	PB	marine	marine metagenome
SRR10759574	0.0	PB	marine	marine metagenome
SRR10759575	0.0	PB	marine	marine metagenome
SRR10759577	0.0	PB	marine	marine metagenome
SRR10759583	0.0	PB	marine	marine metagenome
SRR10759584	0.0	PB	marine	marine metagenome
SRR10759585	0.0	PB	marine	marine metagenome
SRR10759590	0.0	PB	marine	marine metagenome
SRR10759591	100.0	PB	marine	marine metagenome
SRR10759601	0.0	PB	marine	marine metagenome
SRR10759620	0.0	PB	marine	marine metagenome
SRR10759647	0.0	PB	marine	marine metagenome
SRR10759676	81.12244897959182	PB	marine	marine metagenome
SRR8234897	0.0	PB	soil	soil metagenome
SRR8234898	0.0	PB	soil	soil metagenome
SRR8234900	0.0	PB	soil	soil metagenome
SRR8234901	0.0	PB	soil	soil metagenome
SRR7738393	0.0	PB	soil	mine tailings metagenome
SRR7738398	0.0	PB	soil	mine tailings metagenome
SRR7738399	0.0	PB	soil	mine tailings metagenome
SRR7738410	0.0	PB	soil	mine tailings metagenome
SRR7738411	0.0	PB	soil	mine tailings metagenome
SRR7738412	0.0	PB	soil	mine tailings metagenome
SRR6676321	0.0	PB	plant	phyllosphere metagenome
SRR6676325	0.0	PB	plant	phyllosphere metagenome
SRR6676326	0.0	PB	plant	phyllosphere metagenome
SRR6676327	0.0	PB	plant	phyllosphere metagenome
SRR6676329	0.0	PB	plant	phyllosphere metagenome
SRR6676332	0.0	PB	plant	phyllosphere metagenome
SRR6676334	0.0	PB	plant	phyllosphere metagenome
SRR6676335	0.0	PB	plant	phyllosphere metagenome
SRR6676336	0.0	PB	plant	phyllosphere metagenome
SRR6676337	0.0	PB	plant	phyllosphere metagenome
SRR6676338	0.0	PB	plant	phyllosphere metagenome
SRR6676340	0.0	PB	plant	phyllosphere metagenome
SRR6676341	0.0	PB	plant	phyllosphere metagenome
SRR6676342	0.0	PB	plant	phyllosphere metagenome
SRR6676343	0.0	PB	plant	phyllosphere metagenome
SRR6676344	0.0	PB	plant	phyllosphere metagenome
SRR6676345	0.0	PB	plant	phyllosphere metagenome
SRR6676346	0.0	PB	plant	phyllosphere metagenome
SRR6676348	0.0	PB	plant	phyllosphere metagenome
SRR8233769	0.0	PB	soil	soil metagenome
SRR8233771	0.0	PB	soil	soil metagenome
SRR8233772	0.0	PB	soil	soil metagenome
SRR4320643	0.0	PB	soil	soil metagenome
SRR1791530	0.0	PB	soil	soil metagenome
SRR1791532	0.0	PB	soil	soil metagenome
SRR1791533	0.0	PB	soil	soil metagenome
SRR1791534	23.456790123456788	PB	soil	soil metagenome
SRR9589913	10.384850335980452	PB	plant	plant metagenome
SRR9589914	0.0	PB	plant	plant metagenome
SRR9589915	7.828074988568817	PB	plant	plant metagenome
SRR9589916	0.0	PB	plant	plant metagenome
SRR9589917	26.400862068965512	PB	plant	plant metagenome
SRR9589918	0.0	PB	plant	plant metagenome
SRR9589919	0.0	PB	plant	plant metagenome
SRR9589920	7.246376811594203	PB	plant	plant metagenome
SRR9589921	11.259382819015846	PB	plant	plant metagenome
SRR9589922	25.7597007947639	PB	plant	plant metagenome
SRR9589923	15.200368493781669	PB	plant	plant metagenome
SRR9589924	4.415683288922724	PB	plant	plant metagenome
SRR9589925	0.0	PB	plant	plant metagenome
SRR9589926	0.0	PB	plant	plant metagenome
SRR9589927	19.89996968778418	PB	plant	plant metagenome
SRR9589928	88.32206515058391	PB	plant	plant metagenome
SRR9589929	5.064782096584217	PB	plant	plant metagenome
SRR9589930	0.0	PB	plant	plant metagenome
SRR9589931	0.0	PB	plant	plant metagenome
SRR9589932	20.555961960497438	PB	plant	plant metagenome
SRR9589933	0.0	PB	plant	plant metagenome
SRR9589934	0.0	PB	plant	plant metagenome
SRR9589935	5.1170170567235225	PB	plant	plant metagenome
SRR9589936	8.583037074657184	PB	plant	plant metagenome
SRR5814033	100.0	PB	marine	marine metagenome
SRR5814035	100.0	PB	marine	marine metagenome
SRR5814103	0.0	PB	marine	marine metagenome
SRR5814104	0.0	PB	marine	marine metagenome
SRR5814106	0.0	PB	marine	marine metagenome
SRR5814107	0.0	PB	marine	marine metagenome
SRR5814108	0.0	PB	marine	marine metagenome
SRR5814112	0.0	PB	marine	marine metagenome
SRR5814164	0.0	PB	marine	marine metagenome
SRR5814165	100.0	PB	marine	marine metagenome
SRR11032350	0.0	PB	marine	seawater metagenome
SRR11032353	0.0	PB	marine	seawater metagenome
SRR11032359	0.0	PB	marine	seawater metagenome
SRR11032365	0.0	PB	marine	seawater metagenome
